Project ID,Well ID,Company ID,Project End Date,Licence(s),Released?,Release Date,Release Round,Summary Tags,File Count,Project Size,Last Update,Data Reporting Group,CHECKED,Project Type,Survey / Well ID,NSTA Area,DUPL,ABY,RBY,UBY
CNRI1994well0016, 29/02a- 10,CNRI,19/02/1994,P224,TRUE,24/01/2000,72,CORE_CCA CORE_GEN CORE_SCAL DRILL_DEV DRILL_GEN DRILL_EOWR GEOL_MUD DRILL_MWD DUPL DWL_MWD DWL_WIRE WELL_ENG GEOL_BIO GEOL_DIP GEOL_GEN GEOL_GEOW GEOL_PPHYS GEOL_SED GPHYS_CSHOT GPHYS_GEN GPHYS_SONIC GPHYS_VSP JWL_AUDIT JWL_FILE LOG_CASE LOG_COMP LOG_CORE LOG_CPI LOG_DIP LOG_MUD LOG_MWD LOG_SEIS LOG_TEST LOG_VEL LOG_WIRE PRE_DPROG PRE_GPROG PRE_MOVE PRE_SITE TEST_DST TEST_FLUID TEST_GEN CORE_PERM TEST_PLT VSP_SEGY WDD_FILE WELL_SUMMARY,150,889586794,04/02/2022,CNR INTERNATIONAL,TRUE,well,29/02a- 10,CNS,CNRI1991well0002;CNRI1997well0006;CNRI1992well0010;CNRI1986well0013,,,
CNRI1984well0006, 29/02a- 2,CNRI,18/06/1984,P224,TRUE,23/04/1990,34,CORE_CCA CORE_GEN CORE_SCAL DUPL DWL_WIRE GEOL_BIO GEOL_GEOW GEOL_SED GPHYS_VSP JWL_AUDIT JWL_FILE LOG_CASE LOG_COMP LOG_CORE LOG_CPI LOG_LITH LOG_MUD LOG_TEST LOG_VEL LOG_WIRE TEST_DST TEST_FLUID TEST_GEN VSP_SEGY WDD_FILE WELL_SUMMARY,121,261307867,04/02/2022,CNR INTERNATIONAL,TRUE,well,29/02a- 2,CNS,CNRI1986well0013,,,
CNRI1986well0012, 29/02a- 3,CNRI,23/08/1986,P224,TRUE,13/07/1992,42,CORE_CCA GEOL_MUD DUPL DWL_WIRE GEOL_BIO GEOL_DIP GEOL_GEOW GPHYS_GEN GPHYS_VSP JWL_AUDIT JWL_FILE LOG_CASE LOG_COMP LOG_CORE LOG_DIP LOG_LITH LOG_MUD LOG_SEIS LOG_TEST LOG_VEL LOG_WIRE VSP_SEGY WDD_FILE,76,194157143,04/02/2022,CNR INTERNATIONAL,TRUE,well,29/02a- 3,CNS,CNRI1986well0013,,,
CNRI1988well0010, 29/02a- 4,CNRI,01/09/1988,P224,TRUE,19/09/1994,49,CORE_GEN CSHOT_FILE DRILL_DEV DRILL_GEN DRILL_EOWR GEOL_MUD DRILL_MWD DUPL DWL_WIRE ENG_ABAND WELL_ENG GEOL_BIO GEOL_GEOW GEOL_PPHYS GPHYS_CSHOT GPHYS_GEN GPHYS_SONIC GPHYS_VSP JWL_AUDIT JWL_FILE LOG_COMP LOG_CORE LOG_CPI LOG_DIP LOG_LITH LOG_MUD LOG_SEIS LOG_TEST LOG_VEL LOG_WIRE PRE_DPROG PRE_GPROG PRE_SITE TEST_DST VSP_SEGY WDD_FILE WELL_SUMMARY,119,782784558,04/02/2022,CNR INTERNATIONAL,TRUE,well,29/02a- 4,CNS,CNRI1986well0013,,,
CNRI1991well0002, 29/02a- 6,CNRI,07/09/1991,P224,TRUE,02/06/1997,,CONC_GEN CORE_CCA CORE_GEN DRILL_DEV DRILL_GEN DRILL_EOWR GEOL_MUD DRILL_MWD DUPL ENG_ABAND ENG_COMPS WELL_ENG GEOL_BIO GEOL_DIP GEOL_GEN GEOL_GEOW LOG_BIO LOG_COMP LOG_LITH LOG_MUD LOG_WIRE PRE_DPROG PRE_GPROG PRE_MOVE PRE_SITE TEST_DST CORE_PERM WDD_FILE,51,239446227,04/02/2022,CNR INTERNATIONAL,TRUE,well,29/02a- 6,CNS,CNRI1986well0013,,,
CNRI1991well0001, 29/02a- 6Z,CNRI,15/10/1991,P224,TRUE,02/06/1997,63,CONC_GEN CORE_CCA CORE_GEN DRILL_DEV DRILL_GEN DRILL_EOWR GEOL_MUD DRILL_MWD DUPL DWL_TEST DWL_WIRE ENG_ABAND ENG_COMPS WELL_ENG GEOL_BIO GEOL_CHEM GEOL_DIP GEOL_GEN GEOL_GEOW GEOL_PPHYS GEOL_SED GPHYS_CSHOT GPHYS_GEN GPHYS_QCVSP GPHYS_SONIC GPHYS_VSP JWL_AUDIT JWL_FILE LOG_BIO LOG_CASE LOG_COMP LOG_CORE LOG_CPI LOG_DIP LOG_LITH LOG_MUD LOG_SEIS LOG_TEST LOG_VEL LOG_WIRE PRE_GPROG PRE_MOVE PRE_SITE TEST_DST TEST_FLUID TEST_GEN CORE_PERM VSP_SEGY WDD_FILE,169,1107084387,04/02/2022,CNR INTERNATIONAL,TRUE,well,29/02a- 6Z,CNS,CNRI1991well0002;CNRI1997well0006;CNRI1992well0010;CNRI1984well0007;CNRI1986well0013,,,
CNRI1992well0010, 29/02a- 7,CNRI,12/02/1992,P224,TRUE,04/09/1997,64,CONC_GEN CORE_CCA CORE_GEN CORE_SCAL CSHOT_FILE DRILL_DEV DRILL_GEN DRILL_EOWR GEOL_MUD DRILL_MWD DUPL DWL_OTHER DWL_WIRE ENG_ABAND ENG_COMPS WELL_ENG GEOL_BIO GEOL_CHEM GEOL_DIP GEOL_GEN GEOL_GEOW GEOL_PPHYS GEOL_SED GPHYS_CSHOT GPHYS_GEN GPHYS_QCVSP GPHYS_VSP JWL_AUDIT JWL_FILE LOG_CASE LOG_COMP LOG_CORE LOG_CPI LOG_DIP LOG_LITH LOG_MUD LOG_SEIS LOG_TEST LOG_VEL LOG_WIRE PRE_DPROG PRE_GPROG PRE_MOVE PRE_SITE TEST_DST TEST_FLUID TEST_GEN CORE_PERM TEST_PLT VSP_SEGY WDD_FILE WELL_SUMMARY,203,1137177454,04/02/2022,CNR INTERNATIONAL,TRUE,well,29/02a- 7,CNS,CNRI1991well0002;CNRI1997well0006;CNRI1984well0007;CNRI1986well0013,,,
CNRI1996well0013, 29/02a-B1,CNRI,18/07/1996,P224,TRUE,21/01/2002,81,CONC_GEN CORE_CCA CORE_GEN CORE_SCAL CSHOT_FILE DRILL_DEV DRILL_GEN DRILL_EOWR GEOL_MUD DRILL_MWD DUPL DWL_MWD DWL_PROD DWL_TEST DWL_WIRE ENG_COMPS WELL_ENG GEOL_BIO GEOL_DIP GEOL_GEN GEOL_GEOW GEOL_PPHYS GPHYS_CSHOT GPHYS_GEN GPHYS_SONIC GPHYS_VSP JWL_FILE LOG_CASE LOG_COMP LOG_CPI LOG_DIP LOG_MUD LOG_MWD LOG_SEIS LOG_TEST LOG_WIRE PRE_DPROG PRE_GPROG PRE_MOVE PRE_PROP PRE_SITE TEST_DST TEST_FLUID TEST_GEN CORE_PERM TEST_PLT WDD_FILE,135,2338253338,26/11/2022,CNR INTERNATIONAL,TRUE,well,29/02a-B1,CNS,CNRI1997well0006,,,
CNRI2022well0036, 29/02a-B2,CNRI,10/07/1996,P224,TRUE,10/07/2000,,DWL_ABANDON LOG_ABANDON WELL_ENG,6,982448363,03/11/2022,CNR INTERNATIONAL,TRUE,well,29/02a-B2,CNS,,b54ec577-93d8-4dbd-8656-4210e2707f79,,
CNRI1996well0012, 29/02a-B2,CNRI,10/07/1996,P224,TRUE,21/01/2002,81,CONC_GEN CORE_CCA CORE_GEN CORE_SCAL CSHOT_FILE DRILL_DEV DRILL_GEN DRILL_EOWR GEOL_MUD DRILL_MWD DUPL DWL_MWD DWL_PROD DWL_TEST DWL_WIRE ENG_COMPS WELL_ENG GEOL_BIO GEOL_CHEM GEOL_DIP GEOL_GEN GEOL_GEOW GEOL_PPHYS GPHYS_CSHOT GPHYS_SONIC GPHYS_VSP JWL_FILE LOG_CASE LOG_COMP LOG_CORE LOG_CPI LOG_DIP LOG_MUD LOG_MWD LOG_SEIS LOG_TEST LOG_WIRE PRE_DPROG PRE_GEN PRE_GPROG PRE_MOVE PRE_PROP PRE_SITE TEST_DST TEST_GEN CORE_PERM TEST_PLT VSP_SEGY WDD_FILE,260,2146114577,26/11/2022,CNR INTERNATIONAL,TRUE,well,29/02a-B2,CNS,CNRI1997well0006;CNRI1996well0013,,,
